name,uri,conf_uri,roles,cnt_role,cnt_paper,homepage,bio,depiction,mbox_sha1sum,cnt_mbox,organization_sample,organization,organization_uri,cnt_org
Andrea Calì,http://data.semanticweb.org/person/andrea-cali,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Research Track),1,0,,,,,0,University of London,University of London,http://data.semanticweb.org/organization/university-of-london,1
Andrea Ceroni,http://data.semanticweb.org/person/andrea-ceroni,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,L3S Research Center,L3S Research Center,http://data.semanticweb.org/organization/l3s-research-center,1
Andrea D'Errico,http://data.semanticweb.org/person/andrea-derrico,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,IIT-CNR,IIT-CNR,http://data.semanticweb.org/organization/iit-cnr,1
Andrea Giovanni Nuzzolese,http://data.semanticweb.org/person/andrea-giovanni-nuzzolese,http://data.semanticweb.org/conference/iswc/2014,Reviewer at ISWC2014 (Research Track); PC Member at ISWC2014 (Posters and Demos),2,0,,,,,0,ISTC-CNR,ISTC-CNR,http://data.semanticweb.org/organization/istc-cnr,1
Andrea Marchetti,http://data.semanticweb.org/person/andrea-marchetti,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,IIT-CNR,IIT-CNR,http://data.semanticweb.org/organization/iit-cnr,1
Andrea Moro,http://data.semanticweb.org/person/andrea-moro,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Posters and Demos),1,1,,,,,0,Sapienza University of Rome,Sapienza University of Rome,http://data.semanticweb.org/organization/sapienza-university-of-rome,1
Andrea Tettamanzi,http://data.semanticweb.org/person/andrea-tettamanzi,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,University of Nice Sophia Antipolis,University of Nice Sophia Antipolis,http://data.semanticweb.org/organization/university-of-nice-sophia-antipolis,1
Andreas Blumauer,http://data.semanticweb.org/person/andreas-blumauer,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Industry Track),1,1,,,,,0,Semantic Web Company,Semantic Web Company,http://data.semanticweb.org/organization/semantic-web-company,1
Andreas Both,http://data.semanticweb.org/person/andreas-both,http://data.semanticweb.org/conference/iswc/2014,,0,2,,,,,0,Unister GmbH,Unister GmbH,http://data.semanticweb.org/organization/unister-gmbh,1
Andreas Giloj,http://data.semanticweb.org/person/andreas-giloj,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,Leibniz Institute for Psychology Information,Leibniz Institute for Psychology Information,http://data.semanticweb.org/organization/leibniz-institute-for-psychology-information,1
Andreas Harth,http://data.semanticweb.org/person/andreas-harth,http://data.semanticweb.org/conference/iswc/2014,Semantic Web Challenge Chair; Reviewer at ISWC2014 (Research Track); Senior PC Member at ISWC2014 (In Use Track); Session Chair,4,3,http://harth.org/andreas/,,,,0,Karlsruhe Institute of Technology,"Karlsruhe Institute of Technology; Institut AIFB, Universität Karlsruhe",http://data.semanticweb.org/organization/karlsruhe-institute-of-technology; http://data.semanticweb.org/organization/institut-aifb-universitaet-karlsruhe,2
Andreas Hotho,http://data.semanticweb.org/person/andreas-hotho,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Research Track),1,0,,,,,0,University of Würzburg,University of Würzburg,http://data.semanticweb.org/organization/university-of-wuerzburg,1
Andreas Lommatzsch,http://data.semanticweb.org/person/andreas-lommatzsch,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,Technical University of Berlin,Technical University of Berlin,http://data.semanticweb.org/organization/technical-university-of-berlin,1
Andreas Nareike,http://data.semanticweb.org/person/andreas-nareike,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,Leipzig University,Leipzig University,http://data.semanticweb.org/organization/leipzig-university,1
Andreas Schwarte,http://data.semanticweb.org/person/andreas-schwarte,http://data.semanticweb.org/conference/iswc/2014,Reviewer at ISWC2014 (Research Track),1,0,,,,,0,,,,0
Andreas Steigmiller,http://data.semanticweb.org/person/andreas-steigmiller,http://data.semanticweb.org/conference/iswc/2014,Reviewer at ISWC2014 (Research Track),1,0,,,,,0,,,,0
Andreas Wagner,http://data.semanticweb.org/person/andreas-wagner,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,Karlsruhe Institute of Technology,Karlsruhe Institute of Technology,http://data.semanticweb.org/organization/karlsruhe-institute-of-technology,1
Andrei Sambra,http://data.semanticweb.org/person/andrei-sambra,http://data.semanticweb.org/conference/iswc/2014,,0,2,,,,,0,Massachusetts Institute of Technology,Massachusetts Institute of Technology,http://data.semanticweb.org/organization/massachusetts-institute-of-technology,1
Andrej Andrejev,http://data.semanticweb.org/person/andrej-andrejev,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,Uppsala University,Uppsala University,http://data.semanticweb.org/organization/uppsala-university,1
Andrew Bate,http://data.semanticweb.org/person/andrew-bate,http://data.semanticweb.org/conference/iswc/2014,Reviewer at ISWC2014 (Research Track),1,0,,,,,0,,,,0
Andriy Nikolov,http://data.semanticweb.org/person/andriy-nikolov,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Research Track),1,1,,,,,0,Fluid Operations,Fluid Operations,http://data.semanticweb.org/organization/fluid-operations,1
Angelica Lo Duca,http://data.semanticweb.org/person/angelica-lo-duca,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,IIT-CNR,IIT-CNR,http://data.semanticweb.org/organization/iit-cnr,1
Anh Le Tuan,http://data.semanticweb.org/person/anh-le-tuan,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,"INSIGHT, NUI Galway","INSIGHT, NUI Galway",http://data.semanticweb.org/organization/insight-nui-galway,1
Anika Schumann,http://data.semanticweb.org/person/anika-schumann,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,IBM Research,IBM Research,http://data.semanticweb.org/organization/ibm-research,1
Anila Sahar Butt,http://data.semanticweb.org/person/anila-sahar-butt,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,Australian National University,Australian National University,http://data.semanticweb.org/organization/australian-national-university,1
Anique van Berne,http://data.semanticweb.org/person/anique-van-berne,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,Elsevier,Elsevier,http://data.semanticweb.org/organization/elsevier,1
Anitha Veeramani,http://data.semanticweb.org/person/anitha-veeramani,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,,,,0
Anja Jentzsch,http://data.semanticweb.org/person/anja-jentzsch,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (In Use Track),1,0,,,,,0,Hasso Plattner Institute,Hasso Plattner Institute,http://data.semanticweb.org/organization/hasso-plattner-institute,1
Ankush Meshram,http://data.semanticweb.org/person/ankush-meshram,http://data.semanticweb.org/conference/iswc/2014,Reviewer at ISWC2014 (Research Track),1,0,,,,,0,,,,0
Anna Fensel,http://data.semanticweb.org/person/anna-fensel,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Research Track),1,0,,,,,0,Semantic Technology Institute International,Semantic Technology Institute International,http://data.semanticweb.org/organization/semantic-technology-institute-international,1
Anna Gaulton,http://data.semanticweb.org/person/anna-gaulton,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,European Bioinformatics Institute,European Bioinformatics Institute,http://data.semanticweb.org/organization/european-bioinformatics-institute,1
Anna Lisa Gentile,http://data.semanticweb.org/person/anna-lisa-gentile,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Research Track); PC Member at ISWC2014 (Posters and Demos); Workshop Chair,3,1,,,,,0,University of Sheffield,University of Sheffield,http://data.semanticweb.org/organization/university-of-sheffield,1
Annalina Caputo,http://data.semanticweb.org/person/annalina-caputo,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Posters and Demos),1,0,,,,,0,University of Bari,University of Bari,http://data.semanticweb.org/organization/university-of-bari,1
Anni-Yasmin Turhan,http://data.semanticweb.org/person/anni-yasmin-turhan,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Research Track); PC Member at ISWC2014 (Posters and Demos),2,0,,,,,0,Dresden University of Technology,Dresden University of Technology,http://data.semanticweb.org/organization/dresden-university-of-technology,1
Ansgar Scherp,http://data.semanticweb.org/person/ansgar-scherp,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Research Track),1,0,,,,,0,Kiel Institute for the World Economy,Kiel Institute for the World Economy,http://data.semanticweb.org/organization/kiel-institute-for-the-world-economy,1
Antoine Zimmermann,http://data.semanticweb.org/person/antoine-zimmermann,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Research Track),1,0,,,,,0,École Nationale Supérieure des Mines de Saint-Étienne,École Nationale Supérieure des Mines de Saint-Étienne,http://data.semanticweb.org/organization/ecole-nationale-superieure-des-mines-de-saint-etienne,1
Antonino Rotolo,http://data.semanticweb.org/person/antonino-rotolo,http://data.semanticweb.org/conference/iswc/2014,,0,2,,,,,0,University of Bologna,University of Bologna,http://data.semanticweb.org/organization/university-of-bologna,1
Antonio Valderrabanos,http://data.semanticweb.org/person/antonio-valderrabanos,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Industry Track),1,1,,,,,0,Bitext,Bitext,http://data.semanticweb.org/organization/bitext,1
Antonis Loizou,http://data.semanticweb.org/person/antonis-loizou,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (In Use Track),1,1,,,,,0,VU University Amsterdam,VU University Amsterdam,http://data.semanticweb.org/organization/vu-university-amsterdam,1
Antony Neu,http://data.semanticweb.org/person/antony-neu,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,University of Freiburg,University of Freiburg,http://data.semanticweb.org/organization/university-of-freiburg,1
Antony Williams,http://data.semanticweb.org/person/antony-williams,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,Royal Society of Chemistry,Royal Society of Chemistry,http://data.semanticweb.org/organization/royal-society-of-chemistry,1
Antske Fokkens,http://data.semanticweb.org/person/antske-fokkens,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Posters and Demos),1,0,,,,,0,VU University Amsterdam,VU University Amsterdam,http://data.semanticweb.org/organization/vu-university-amsterdam,1
Areti Karamanou,http://data.semanticweb.org/person/areti-karamanou,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,Centre for Research and Technology Hellas,Centre for Research and Technology Hellas,http://data.semanticweb.org/organization/centre-for-research-and-technology-hellas,1
Arkadiusz Stasiewicz,http://data.semanticweb.org/person/arkadiusz-stasiewicz,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,"INSIGHT, NUI Galway","INSIGHT, NUI Galway",http://data.semanticweb.org/organization/insight-nui-galway,1
Armen Inants,http://data.semanticweb.org/person/armen-inants,http://data.semanticweb.org/conference/iswc/2014,Reviewer at ISWC2014 (Research Track),1,0,,,,,0,,,,0
Armin Haller,http://data.semanticweb.org/person/armin-haller,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Research Track); PC Member at ISWC2014 (Posters and Demos); PC Member at ISWC2014 (In Use Track); Workshop Chair,4,1,,,,,0,CSIRO Australia,CSIRO Australia,http://data.semanticweb.org/organization/csiro-australia,1
Arnaud Droit,http://data.semanticweb.org/person/arnaud-droit,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,Laval University,Laval University,http://data.semanticweb.org/organization/laval-university,1
Arne Rutjes,http://data.semanticweb.org/person/arne-rutjes,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,IBM Services Center Benelux,IBM Services Center Benelux,http://data.semanticweb.org/organization/ibm-services-center-benelux,1
Arno Scharl,http://data.semanticweb.org/person/arno-scharl,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,MODUL University Vienna,MODUL University Vienna,http://data.semanticweb.org/organization/modul-university-vienna,1
Ashraf Aboulnaga,http://data.semanticweb.org/person/ashraf-aboulnaga,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,Qatar Computing Research Institute,Qatar Computing Research Institute,http://data.semanticweb.org/organization/qatar-computing-research-institute,1
Aurona Gerber,http://data.semanticweb.org/person/aurona-gerber,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Posters and Demos),1,0,,,,,0,Council of Scientific and Industrial Research,Council of Scientific and Industrial Research,http://data.semanticweb.org/organization/council-of-scientific-and-industrial-research,1
Axel-Cyrille Ngonga Ngomo,http://data.semanticweb.org/person/axel-cyrille-ngonga-ngomo,http://data.semanticweb.org/conference/iswc/2014,Workshop Chair; PC Member at ISWC2014 (Research Track),2,6,,,,,0,Leipzig University,Leipzig University,http://data.semanticweb.org/organization/leipzig-university,1
Axel Polleres,http://data.semanticweb.org/person/axel-polleres,http://data.semanticweb.org/conference/iswc/2014,"Industry Track Chair; Session Chair; PC Member at ISWC2014 (Replication, Benchmark, Data and Software Track)",3,3,http://www.polleres.net/,,,,0,Vienna University of Economics and Business,Vienna University of Economics and Business,http://data.semanticweb.org/organization/vienna-university-of-economics-and-business,1
Aynaz Taheri,http://data.semanticweb.org/person/aynaz-taheri,http://data.semanticweb.org/conference/iswc/2014,Reviewer at ISWC2014 (Research Track),1,0,,,,,0,,,,0
Azam Feyznia,http://data.semanticweb.org/person/azam-feyznia,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,Ferdowsi University of Mashhad,Ferdowsi University of Mashhad,http://data.semanticweb.org/organization/ferdowsi-university-of-mashhad,1
Ba-Lam Do,http://data.semanticweb.org/person/ba-lam-do,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,Vienna University of Technology,Vienna University of Technology,http://data.semanticweb.org/organization/vienna-university-of-technology,1
Bart van Leeuwen,http://data.semanticweb.org/person/bart-van-leeuwen,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,,,,0
Basil Ell,http://data.semanticweb.org/person/basil-ell,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (In Use Track),1,0,,,,,0,"Institut AIFB, Universität Karlsruhe","Institut AIFB, Universität Karlsruhe",http://data.semanticweb.org/organization/institut-aifb-universitaet-karlsruhe,1
Belgin Mutlu,http://data.semanticweb.org/person/belgin-mutlu,http://data.semanticweb.org/conference/iswc/2014,,0,2,,,,,0,Know-Center,Know-Center,http://data.semanticweb.org/organization/know-center,1
Ben De Meester,http://data.semanticweb.org/person/ben-de-meester,http://data.semanticweb.org/conference/iswc/2014,,0,2,,,,,0,Ghent University,Ghent University,http://data.semanticweb.org/organization/ghent-university,1
Benedikt Kämpgen,http://data.semanticweb.org/person/benedikt-kaempgen,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (In Use Track),1,0,,,,,0,Karlsruhe Institute of Technology,Karlsruhe Institute of Technology,http://data.semanticweb.org/organization/karlsruhe-institute-of-technology,1
Beng Chin Ooi,http://data.semanticweb.org/person/beng-chin-ooi,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Research Track),1,0,,,,,0,National University of Singapore,National University of Singapore,http://data.semanticweb.org/organization/national-university-of-singapore,1
Bernard Gorman,http://data.semanticweb.org/person/bernard-gorman,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,,,,0
Bernardo Cuenca Grau,http://data.semanticweb.org/person/bernardo-cuenca-grau,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Research Track),1,2,,,,,0,University of Oxford,University of Oxford,http://data.semanticweb.org/organization/university-of-oxford,1
Bernardo Magnini,http://data.semanticweb.org/person/bernardo-magnini,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,NuSMV,NuSMV,http://data.semanticweb.org/organization/nusmv,1
