person_uri,name,other_names,first_name,last_name,email,organization,country,homepage,bio,domain,depiction,homepage_organization,role_event,role_type,role_label,source,EOL
,"Armin Haller",,Armin,Haller,,"DERI, NUI Galway",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Ivan Herman",,Ivan,Herman,,W3C,,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Federico Michele Facca",,"Federico Michele",Facca,,Create-Net,,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Willem Robert Van Hage",,"Willem Robert","Van Hage",,"VU Amsterdam",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Nenad Stojanovic",,Nenad,Stojanovic,,"FZI Research Center for Information Technology",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Pascal Hitzler",,Pascal,Hitzler,,"Kno.e.sis Center, Wright State University",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Shenghui Wang",,Shenghui,Wang,,OCLC,,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Holger Wache",,Holger,Wache,,"University of Applied Sciences and Arts Northwestern Switzerland",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Zhe Wu",,Zhe,Wu,,Oracle,,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Lyndon Nixon",,Lyndon,Nixon,,"STI International",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Mathieu d'Aquin",,Mathieu,d'Aquin,,"KMi, The Open University",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Matthew Horridge",,Matthew,Horridge,,"Stanford University",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Massimo Paolucci",,Massimo,Paolucci,,"DoCoMo Euro labs",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Oscar Corcho",,Oscar,Corcho,,"Universidad Politecnica de Madrid",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Matthew Rowe",,Matthew,Rowe,,"KMi, The Open University",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Alexandre Passant",,Alexandre,Passant,,"DERI, NUI Galway",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Héctor Pérez-Urbina",,Héctor,Pérez-Urbina,,"Clark & Parsia",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Pavel Klinov",,Pavel,Klinov,,"University of Ulm",Germany,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Peter Haase",,Peter,Haase,,"fluid Operations",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Kewen Wang",,Kewen,Wang,,"Griffith University",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Milan Stankovic",,Milan,Stankovic,,Hypios,,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Markus Strohmaier",,Markus,Strohmaier,,"Graz University of Technology",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Amal Zouaq",,Amal,Zouaq,,"Royal Military College of Canada",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Ivan Cantador",,Ivan,Cantador,,"Universidad Autonoma de Madrid",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Matthias Klusch",,Matthias,Klusch,,DFKI,,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Carlos Pedrinaci",,Carlos,Pedrinaci,,"KMi, The Open University","United Kingdom",,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Adrian Mocan",,Adrian,Mocan,,SAP,,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Jamie Taylor",,Jamie,Taylor,,Metaweb,,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Anupriya Ankolekar",,Anupriya,Ankolekar,,"HP Labs",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Mike Dean",,Mike,Dean,,"Raytheon BBN Technologies",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Rinke Hoekstra",,Rinke,Hoekstra,,"VU Amsterdam",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Patrick Sinclair",,Patrick,Sinclair,,BBC,,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Michael Uschold",,Michael,Uschold,,"Reinvent Technology",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Siegfried Handschuh",,Siegfried,Handschuh,,"DERI, NUI Galway",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Cecile Bothorel",,Cecile,Bothorel,,"Telecom Bretagne",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Cartic Ramakrishnan",,Cartic,Ramakrishnan,,"Kno.e.sis Center, Wright State University",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Christian Bizer",,Christian,Bizer,,"Free University of Berlin",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Marco Rospocher",,Marco,Rospocher,,"Fondazione Bruno Kessler",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,"Giovanni Tummarello",,Giovanni,Tummarello,,"DERI, NUI Galway",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Semantic Web in Use)",,EOL
,,,,,,,,,,,,,,,,,
,"Birte Glimm",,Birte,Glimm,,"University of Ulm",,,,,,,[ME],swc:Chair,"Posters and Demos Chair",,EOL
,"David Huynh",,David,Huynh,,Google,,,,,,,[ME],swc:Chair,"Posters and Demos Chair",,EOL
,"Eva Blomqvist",,Eva,Blomqvist,,"Linköping University",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Posters and Demos)",,EOL
,"Gianluca Correndo",,Gianluca,Correndo,,"University of Southampton",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Posters and Demos)",,EOL
,"Mathieu d'Aquin",,Mathieu,d'Aquin,,"KMi, The Open University",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Posters and Demos)",,EOL
,"Klaas Dellschaft",,Klaas,Dellschaft,,University of Koblenz-Landau,,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Posters and Demos)",,EOL
,"Miriam Fernandez",,Miriam,Fernandez,,"KMi, The Open University",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Posters and Demos)",,EOL
,"Peter Haase",,Peter,Haase,,"fluid Operations",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Posters and Demos)",,EOL
,"Michael Hausenblas",,Michael,Hausenblas,,"DERI, NUI Galway",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Posters and Demos)",,EOL
,"Pascal Hitzler",,Pascal,Hitzler,,"Kno.e.sis Center, Wright State University",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Posters and Demos)",,EOL
,"Aidan Hogan",,Aidan,Hogan,,"DERI, NUI Galway",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Posters and Demos)",,EOL
,"Matthew Horridge",,Matthew,Horridge,,"Stanford University",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Posters and Demos)",,EOL
,"Yue Ma",,Yue,Ma,,"LIPN - UMR 7030 Universit Paris 13 - CNRS",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Posters and Demos)",,EOL
,"Yuan Ni",,Yuan,Ni,,"IBM China Research Laboratory",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Posters and Demos)",,EOL
,"Nadeschda Nikitina",,Nadeschda,Nikitina,,"AIFB, Karlsruhe Institute of Technology",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Posters and Demos)",,EOL
,"Alexandre Passant",,Alexandre,Passant,,"DERI, NUI Galway",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Posters and Demos)",,EOL
,"Axel Polleres",,Axel,Polleres,,"Siemens AG Österreich; DERI, NUI Galway",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Posters and Demos)",,EOL
,"Bernhard Schandl",,Bernhard,Schandl,,Gnowsis.com,,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Posters and Demos)",,EOL
,"Wolf Siberski",,Wolf,Siberski,,"L3S Research Center; University of Hannover",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Posters and Demos)",,EOL
,"Frantisek Simancik",,Frantisek,Simancik,,"University of Oxford",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Posters and Demos)",,EOL
,"Giorgos Stoilos",,Giorgos,Stoilos,,"National Technical University of Athens",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Posters and Demos)",,EOL
,"Nenad Stojanovic",,Nenad,Stojanovic,,"FZI Research Center for Information Technology",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Posters and Demos)",,EOL
,"Raphaël Troncy",,Raphaël,Troncy,,EURECOM,,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Posters and Demos)",,EOL
,"Tania Tudorache",,Tania,Tudorache,,"Stanford University",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Posters and Demos)",,EOL
,"Jürgen Umbrich",,Jürgen,Umbrich,,"DERI, NUI Galway",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Posters and Demos)",,EOL
,"Maria-Esther Vidal",,Maria-Esther,Vidal,,"Universidad Simon Bolivar",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Posters and Demos)",,EOL
,"Haofen Wang",,Haofen,Wang,,"Shanghai Jiao Tong University",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Posters and Demos)",,EOL
,,,,,,,,,,,,,,,,,
,"Philippe Cudré-Mauroux","Philippe Cudré-Mauroux",Philippe,Cudré-Mauroux,,"University of Fribourg",,http://diuf.unifr.ch/xi,,,,,[ME],swc:Chair,"Program Chair",,EOL
,"Jeff Heflin","Jeff Heflin",Jeff,Heflin,,"Lehigh University",,http://www.cse.lehigh.edu/%7Eheflin,,,,,[ME],swc:Chair,"Program Chair",,EOL
,"Harith Alani","Harith Alani",Harith,Alani,,"KMi, The Open University",,http://people.kmi.open.ac.uk/harith,,,,,[ME],swc:ProgrammeCommitteeMember,"Senior PC Member at ISWC2012 (Research Track)",,EOL
,"Lora Aroyo","Lora Aroyo",Lora,Aroyo,,"VU Amsterdam",,http://www.cs.vu.nl/~laroyo,,,,,[ME],swc:ProgrammeCommitteeMember,"Senior PC Member at ISWC2012 (Research Track)",,EOL
,"Jérôme Euzenat","Jérôme Euzenat",Jérôme,Euzenat,,"INRIA & LIG",,http://exmo.inrialpes.fr/~euzenat,,,,,[ME],swc:ProgrammeCommitteeMember,"Senior PC Member at ISWC2012 (Research Track)",,EOL
,"Andreas Harth","Andreas Harth",Andreas,Harth,,"AIFB, Karlsruhe Institute of Technology",,http://harth.org/andreas,,,,,[ME],swc:ProgrammeCommitteeMember,"Senior PC Member at ISWC2012 (Research Track)",,EOL
,"Pascal Hitzler","Pascal Hitzler",Pascal,Hitzler,,"Kno.e.sis Center, Wright State University",,http://www.pascal-hitzler.de,,,,,[ME],swc:ProgrammeCommitteeMember,"Senior PC Member at ISWC2012 (Research Track)",,EOL
,"Ian Horrocks","Ian Horrocks",Ian,Horrocks,,"University of Oxford",,http://www.cs.ox.ac.uk/people/ian.horrocks,,,,,[ME],swc:ProgrammeCommitteeMember,"Senior PC Member at ISWC2012 (Research Track)",,EOL
,"Lalana Kagal","Lalana Kagal",Lalana,Kagal,,MIT,,http://csail.mit.edu/~lkagal,,,,,[ME],swc:ProgrammeCommitteeMember,"Senior PC Member at ISWC2012 (Research Track)",,EOL
,"David Karger","David Karger",David,Karger,,MIT,,http://people.csail.mit.edu/karger,,,,,[ME],swc:ProgrammeCommitteeMember,"Senior PC Member at ISWC2012 (Research Track)",,EOL
,"Manolis Koubarakis","Manolis Koubarakis",Manolis,Koubarakis,,"National and Kapodistrian University of Athens",,http://www.di.uoa.gr/~koubarak,,,,,[ME],swc:ProgrammeCommitteeMember,"Senior PC Member at ISWC2012 (Research Track)",,EOL
,"Diana Maynard","Diana Maynard",Diana,Maynard,,"University of Sheffield",,http://www.dcs.shef.ac.uk/~diana,,,,,[ME],swc:ProgrammeCommitteeMember,"Senior PC Member at ISWC2012 (Research Track)",,EOL
,"Deborah L. McGuinness","Deborah L. McGuinness",Deborah,McGuinness,,RPI,,http://www.cs.rpi.edu/~dlm,,,,,[ME],swc:ProgrammeCommitteeMember,"Senior PC Member at ISWC2012 (Research Track)",,EOL
,"Natasha F. Noy","Natasha F. Noy",Natasha,Noy,,"Stanford University",,http://www.stanford.edu/~natalya,,,,,[ME],swc:ProgrammeCommitteeMember,"Senior PC Member at ISWC2012 (Research Track)",,EOL
,"Peter Patel-Schneider","Peter Patel-Schneider",Peter,Patel-Schneider,,"Nuance Communications",,,,,,,[ME],swc:ProgrammeCommitteeMember,"Senior PC Member at ISWC2012 (Research Track)",,EOL
,"Axel Polleres","Axel Polleres",Axel,Polleres,,"Siemens AG Österreich; DERI, NUI Galway",,http://www.polleres.net,,,,,[ME],swc:ProgrammeCommitteeMember,"Senior PC Member at ISWC2012 (Research Track)",,EOL
,"Heiner Stuckenschmidt","Heiner Stuckenschmidt",Heiner,Stuckenschmidt,,"University of Mannheim",,http://ki.informatik.uni-mannheim.de,,,,,[ME],swc:ProgrammeCommitteeMember,"Senior PC Member at ISWC2012 (Research Track)",,EOL
,"Jie Tang","Jie Tang",Jie,Tang,,"Tsinghua University",,http://keg.cs.tsinghua.edu.cn/persons/tj,,,,,[ME],swc:ProgrammeCommitteeMember,"Senior PC Member at ISWC2012 (Research Track)",,EOL
,"Hai Zhuge","Hai Zhuge",Hai,Zhuge,,"Chinese Academy of Sciences",,http://www.knowledgegrid.net/~h.zhuge,,,,,[ME],swc:ProgrammeCommitteeMember,"Senior PC Member at ISWC2012 (Research Track)",,EOL
,"Abir Qasem","Abir Qasem",Abir,Qasem,,"Bridgewater College",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Achille Fokoue","Achille Fokoue",Achille,Fokoue,,"IBM Research",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Adila A. Krisnadhi","Adila A. Krisnadhi",Adila,Krisnadhi,,"Kno.e.sis Center, Wright State University",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Aidan Hogan","Aidan Hogan",Aidan,Hogan,,"DERI, NUI Galway",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Alasdair J. G. Gray","Alasdair J. G. Gray",Alasdair,Gray,,"University of Manchester",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Aldo Gangemi","Aldo Gangemi",Aldo,Gangemi,,"STLab, ISTC-CNR",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Alexander Löser","Alexander Löser",Alexander,Löser,,"Berlin Institute of Technology",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Alexandra Poulovassilis","Alexandra Poulovassilis",Alexandra,Poulovassilis,,"Birkbeck College, University of London",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Alexandre Passant","Alexandre Passant",Alexandre,Passant,,"DERI, NUI Galway",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Amit Sheth","Amit P. Sheth",Amit,Sheth,,"Kno.e.sis Center, Wright State University","United States",,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Anastasios Kementsietsidis","Anastasios Kementsietsidis",Anastasios,Kementsietsidis,,"IBM Research",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Andreas Hotho","Andreas Hotho",Andreas,Hotho,,"University of Wuerzburg",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Antoine Zimmermann","Antoine Zimmermann",Antoine,Zimmermann,,"École des Mines de Saint-Étienne",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Arantza Illarramendi","Arantza Illarramendi",Arantza,Illarramendi,,"Basque Country University",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Avigdor Gal","Avigdor Gal",Avigdor,Gal,,Technion,,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Benoit Christophe","Benoit Christophe",Benoit,Christophe,,"Alcatel-Lucent Bell Labs France",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Bernardo Cuenca Grau","Bernardo Cuenca Grau",Bernardo,Grau,,"University of Oxford",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Bernhard Schandl","Bernhard Schandl",Bernhard,Schandl,,Gnowsis.com,,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Bijan Parsia","Bijan Parsia",Bijan,Parsia,,"University of Manchester",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Birte Glimm","Birte Glimm",Birte,Glimm,,"University of Ulm",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Bo Fu","Bo Fu",Bo,Fu,,"University of Victoria",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Boris Motik","Boris Motik",Boris,Motik,,"University of Oxford",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Brian Kettler","Brian Kettler",Brian,Kettler,,"Lockheed Martin",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Carlo Curino","Carlo Curino",Carlo,Curino,,"Yahoo! Research",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Christian Bizer","Christian Bizer",Christian,Bizer,,"Free University of Berlin",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Christophe Guéret","Christophe Guéret",Christophe,Guéret,,"VU Amsterdam",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Christopher Matheus","Christopher Matheus",Christopher,Matheus,,"Bell Labs Research",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Christos Tryfonopoulos","Christos Tryfonopoulos",Christos,Tryfonopoulos,,"University of Peloponnese",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Claudia d'Amato","Claudia d'Amato",Claudia,d'Amato,,"University of Bari",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Craig Knoblock","Craig A. Knoblock",Craig,Knoblock,,"Information Sciences Institute, University of Southern California",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Dan Brickley","Dan Brickley",Dan,Brickley,,"FOAF project",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Daniel Schwabe","Daniel Schwabe",Daniel,Schwabe,,PUC-Rio,,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"David De Roure","David De Roure",David,Roure,,"University of Oxford",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Diego Calvanese","Diego Calvanese",Diego,Calvanese,,"Free University of Bozen-Bolzano",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Dimitris Plexousakis","Dimitris Plexousakis",Dimitris,Plexousakis,,"University of Crete; FORTH-ICS",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Elena Simperl","Elena Simperl",Elena,Simperl,,"AIFB, Karlsruhe Institute of Technology",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
,"Enrico Franconi","Enrico Franconi",Enrico,Franconi,,"Free University of Bozen-Bolzano",,,,,,,[ME],swc:ProgrammeCommitteeMember,"PC Member at ISWC2012 (Research Track)",,EOL
