author,title,pages,year,link_open_access,link_publisher,proceedings_uri,paper_uri,source_uri,keywords,abstract,uri_me,category,source,EOL
"Chris Goad","Describing Computation within RDF",361-380,2001,http://www.semanticweb.org/SWWS/program/full/paper13a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 2: Interoperability, Integration, Composition",,EOL
"Harold Boley, Said Tabet, Gerd Wagner","Design Rationale for RuleML: A Markup Language for Semantic Web Rules",381-401,2001,http://www.semanticweb.org/SWWS/program/full/paper20a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 2: Interoperability, Integration, Composition",,EOL
"Rolf Grütter, Claus Eikemeier","Development of a Simple Ontology Definition Language (SOntoDL) and Its Application to a Medical Information Service on the World Wide Web",587-597,2001,http://www.semanticweb.org/SWWS/program/full/paper47a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 1: Ontology and Ontology Maintenance",,EOL
"Ora Lassila","Enabling Semantic Web Programming by Integrating RDF and Common Lisp",403-410,2001,http://www.semanticweb.org/SWWS/program/full/paper32a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 2: Interoperability, Integration, Composition",,EOL
"Emmanuel Desmontils, Christine Jacquin","Indexing a web site with a terminology oriented ontology",549-565,2001,http://www.semanticweb.org/SWWS/program/full/paper5a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 3: (Web-) Services and Applications",,EOL
"Aseem Das, Wei Wu, Deborah L. McGuinness","Industrial Strength Ontology Management",17-37,2001,http://www.semanticweb.org/SWWS/program/full/paper50a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 1: Ontology and Ontology Maintenance",,EOL
"R. Scott Cost, Timothy W. Finin, Anupam Joshi, Yun Peng, Charles K. Nicholas, Harry Chen, Lalana Kagal, Filip Perich, Youyong Zou, Sovrin Tolia","ITTALKS: A Case Study in the Semantic Web and DAML",477-494,2001,http://www.semanticweb.org/SWWS/program/full/paper41a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 3: (Web-) Services and Applications",,EOL
"Jeff Z. Pan, Ian Horrocks","Metamodeling Architecture of Web Ontology Languages",131-149,2001,http://www.semanticweb.org/SWWS/program/full/paper11a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 1: Ontology and Ontology Maintenance",,EOL
"Isabel F. Cruz, Paul W. Calnan","Object Interoperability for Geospatial Applications",229-243,2001,http://www.semanticweb.org/SWWS/program/full/paper48a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 2: Interoperability, Integration, Composition",,EOL
"Martin S. Lacher, Stefan Decker","On the Integration of Topic Maps and RDF data",331-344,2001,http://www.semanticweb.org/SWWS/program/full/paper53a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 2: Interoperability, Integration, Composition",,EOL
"Ying Ding, Dieter Fensel","Ontology Library Systems: The key to successful Ontology Reuse",93-112,2001,http://www.semanticweb.org/SWWS/program/full/paper58a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 1: Ontology and Ontology Maintenance",,EOL
"Michel C. A. Klein, Dieter Fensel","Ontology versioning on the Semantic Web",75-91,2001,http://www.semanticweb.org/SWWS/program/full/paper56a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 1: Ontology and Ontology Maintenance",,EOL
"Atanas K. Kirakov, Marin Dimitrov","OntoMap - the Guide to the Upper-Level",39-53,2001,http://www.semanticweb.org/SWWS/program/full/paper35a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 1: Ontology and Ontology Maintenance",,EOL
"Yuhui Jin, Stefan Decker, Gio Wiederhold","OntoWebber: Model-Driven Ontology-Based Web Site Management",529-547,2001,http://www.semanticweb.org/SWWS/program/full/paper55a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 3: (Web-) Services and Applications",,EOL
"Hadhami Dhraief, Wolfgang Nejdl, Boris Wolf, Martin Wolpers","Open Learning Repositories and Metadata Modeling",495-514,2001,http://www.semanticweb.org/SWWS/program/full/paper38a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 3: (Web-) Services and Applications",,EOL
"Drew V. McDermott, Mark H. Burstein, Douglas R. Smith","Overcoming Ontology Mismatches in Transactions with Self-Describing Service Agents",285-302,2001,http://www.semanticweb.org/SWWS/program/full/paper39a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 2: Interoperability, Integration, Composition",,EOL
"Wolfram Conen, Reinhold Klapsing, Eckhart Köppen","RDF M&S revisited: From Reification to Nesting, from Containers to Lists, from Dialect to pure XML",195-208,2001,http://www.semanticweb.org/SWWS/program/full/paper27a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 1: Ontology and Ontology Maintenance",,EOL
"Chutiporn Anutariya, Vilas Wuwongse, Kiyoshi Akama, Vichit Wattanapailin","Semantic Web Modeling and Programming with XDD",161-180,2001,http://www.semanticweb.org/SWWS/program/full/paper17a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 1: Ontology and Ontology Maintenance",,EOL
"Mark Klein, Abraham Bernstein","Serching for services on the semantic web using process ontologies",431-446,2001,http://www.semanticweb.org/SWWS/program/full/paper2a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 3: (Web-) Services and Applications",,EOL
"Marcelo Tallis, Neil M. Goldman, Robert Balzer","The Briefing Associate: A Role for COTS applications in the Semantic Web",463-475,2001,http://www.semanticweb.org/SWWS/program/full/paper54a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 3: (Web-) Services and Applications",,EOL
"Clifford Behrens, Vipul Kashyap","The ""Emergent"" Semantic Web: An approach for derivation of semantic agreements on the Web",55-74,2001,http://www.semanticweb.org/SWWS/program/full/paper29a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 1: Ontology and Ontology Maintenance",,EOL
"Mark S. Tuttle, Steven H. Brown, Keith E. Campbell, John S. Carter, Kevin Keck, Michael J. Lincoln, Stuart J. Nelson, Michael Stonebraker","The Semantic Web As ""Perfection Seeking"": A View from Drug Terminology",5-16,2001,http://www.semanticweb.org/SWWS/program/full/paper49a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 1: Ontology and Ontology Maintenance",,EOL
"David N. Allsopp, Patrick Beautement, John Carson, Michael Kirton","Towards Semantic Interoperability in Agent-based Coalition Command Systems",209-228,2001,http://www.semanticweb.org/SWWS/program/full/paper10a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 2: Interoperability, Integration, Composition",,EOL
"Stephen Cranefield","UML and the Semantic Web",113-130,2001,http://www.semanticweb.org/SWWS/program/full/paper1a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 1: Ontology and Ontology Maintenance",,EOL
"Wolfram Conen, Reinhold Klapsing","Utilizing Host-Formalisms to Extend RDF-Semantics",181-193,2001,http://www.semanticweb.org/SWWS/program/full/paper24a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 1: Ontology and Ontology Maintenance",,EOL
"K. Anyanwu, A. Sheth","Supporting Knowledge Discovery on the Semantic Web by Exploiting the Semantics of Complex Relationships",,2001,https://github.com/lidingpku/iswc-archive/raw/master/paper/swws-2001-position/soi-anyanwu.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Avron Barr, Shirley Tessler , Buddy Kresge","Towards a Knowledge-Level Software Platform",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-barr.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"David Boncarosky","Wireless Need for the Semantic Web",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-boncarosky.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Nigel Collier, Koichi Takeuchi, Keita Tsuji","The PIA Project: Learning to Semantically Annotate Texts from an Ontology and XMLInstance Data",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-collier.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Monica Crubézy , Mark A. Musen","Delivering Configurable Problem-Solving Services to Web Users",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-crubezy-musen.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Karl D'Adamo","Semantic Web Workshop",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-dadamo.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Alexandre Delteil, Catherine Faron-Zucker, Rose Dieng","Extension of RDF(S) with Contextual and Definitional Knowledge",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-delteil.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Charles Earl","Implications of Semantic Web Technology for Wireless Handheld Computing",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-earl.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Andreas Eberhart","Applications of the Semantic Web for document retrieval",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-eberhart.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Peter Eklund, Peter Becker , Philippe Martin","Update Semantics for Cooperative Ontologies",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-eklund.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Johannes Ernst","Peer-to-Peer Infrastructure Supporting the Semantic Web",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-ernst.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"James Farrugia","Logics for the Semantic Web",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-farrugias.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Dieter Fensel","Ontologies: Dynamic Networks of Formally Represented Meaning",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/network.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Christian Fillies","Semantic Web Workshop",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-fillies.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Frehiwot Fisseha, Kat Hagedorn, Johannes Keizer, Stephen Katz","Creating the Semantic Web: the Role of an Agricultural Ontology Server(AOS)",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-fisseha.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Asunción Gómez-Pérez","A proposal of infra-structural needs on the framework of the Semantic Web for ontology construction and use",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-gomez-perez.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Yoshihisa Gonno, Fumihiko Nishio, Tomohiro Tsunoda, Yasuaki Yamagishi","Semantic Web and Adaptive Multimedia Access",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-gonno.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Syd Hall, Nick Spadaccini, Doug du Boulay, Ian Castleden","Semantics for Scientific Data: Smart Dictionaries as Ontologies",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-hall.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Sandro Hawke","SWWS 2001 Position Paper",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-hawke.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Karl Hebenstreit","Realizing Visions for the Web",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-hebenstreit.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Nenad Ivezic, Michael Gruninger, Al Jones, Steve Ray","A Position Paper: Semantic Web Testbed for Manufacturing B2B",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-ivezic.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Rob Jasper, Anita Tyler","The Role of Semantics and Inference in the Semantic Web: A Commercial Challenge",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-jasper.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"(A person from J.D. Edwards)","Semantic Web Position Paper",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-jded.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Brian Kettler","Building a Semantic Web for the Intelligence Community",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-kettler.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Mike Lindelsee, Gabe Wachob","VR Communities and the Semantic Web Authors",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-lindelsee.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Ping Liu, Jayne Curson, Peter Dew, Richard Drew","Expertise Matching using RDF",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-liu.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Marcus Miguel Maciel","Project Renaissance: A Semantic Web Based Java Framework for Knowledge Management",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-maciel2a.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Alexander Maedche","A Machine Learning Perspective for the Semantic Web",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-maedche.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Raphael Malyankar","Maritime Transportation and the SemanticWeb",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-malyankar.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Guido Geerts, William McCarthy","REA Ontology Use in ebXML and the UN/CEFACT Modeling Methodology(N90)",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-mccarthy.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Deborah L. McGuinness","Description Logics Emerge from Ivory Towers",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-mcguinness.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Bryan Pelz, Steven Minton","SWWS Position Paper",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-minton.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Bernard Moulin","Toward a knowledge portal in environmental health: taking advantage of the semantic web",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-moulin.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Ambjörn Naeve, Mikael Nilsson, Matthias Palmér","The Conceptual Web - our research vision",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-nilsson.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Diane Oliver, Micheal Hewett, Daniel Rubin, Joshua Stuart, Teri Klein, Russ Altman","Management of Data, Knowledge, and Metadata on the Semantic Web: Experience with a Pharmacogenetics Knowledge Base",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-oliver.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Terry R. Payne, Massimo Paolucci, Katia Sycara","Advertising and Matching DAML-S Service Descriptions",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-payne.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"John R. Punin, Mukkai S. Krishnamoorthy","Digital Library Portal using Semantic Tools in WWWPal",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-punin.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"James Pustejovsky","Linguistic Techniques and Standards for Semantic Mark-up",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-pustejovsky.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Abir Qasem","A Prototype DAML+OIL Ontology IDE",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-qasem.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Scott Tsao, Christina Portillo","Towards a User-Focused Approach to the Semantic Web",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-scott.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Simon Buckingham Shum, John Domingue, Enrico Motta","Semantically Marked Up... What?",,2001,http://eprints.aktors.org/151/02/SemWebNowWhat.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Carolyn Sleeth","Semantic Web Position Paper",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-sleeth.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Naohiko Uramoto","How the Semantic Web can work with the Web Services?",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-uramoto.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Raphael Volz","ONTOSERVER - Infrastructure for the Semantic Web",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-volz.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"B.J. Wielinga, A. Th. Schreiber, J. Wielemaker","Semantics for Multimedia on the Web",,2001,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/position/soi-wielinga.pdf,,http://data.semanticweb.org/conference/iswc/2001/position-proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Position Paper",,EOL
"Sonia Bergamaschi, Francesco Guerra, Maurizio Vincini","A Data Integration Framework for e-Commerce Product Classification",379-393,2002,,http://dx.doi.org/10.1007/3-540-48005-6_29,http://data.semanticweb.org/conference/iswc/2002/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2002,"Research Track Paper",,EOL
