author,title,pages,year,link_open_access,link_publisher,proceedings_uri,paper_uri,source_uri,keywords,abstract,uri_me,category,source,start_page,paper_id,EOL
"Alexander Schätzle, Martin Przyjaciel-Zablocki, Antony Neu and Georg Lausen",Sempala: Interactive SPARQL Query Processing on Hadoop,161-176,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960161-sempala-interactive-sparql-query-processing-on-hadoop.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,161,87960161,
"Ruben Verborgh, Olaf Hartig, Ben De Meester, Gerald Haesendonck, Laurens De Vocht, Miel Vander Sande, Richard Cyganiak, Pieter Colpaert, Erik Mannens and Rik Van de Walle",Querying Datasets on the Web with High Availability,177-192,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960177-querying-datasets-on-the-web-with-high-availability.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,177,87960177,
"Gunes Aluc, Olaf Hartig, Tamer Ozsu and Khuzaima Daudjee",Diversified Stress Testing of RDF Data Management Systems,193-208,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960193-diversified-stress-testing-of-rdf-data-management-systems.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,"Replication, Benchmark, Data and Software Track Paper",,193,87960193,
"Wouter Beek, Laurens Rietveld, Hamidreza Bazoubandi, Jan Wielemaker and Stefan Schlobach",LOD Laundromat: A Uniform Way of Publishing Other People's Dirty Data,209-224,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960209-lod-laundromat-a-uniform-way-of-publishing-other-peoples-dirty-data.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,"Replication, Benchmark, Data and Software Track Paper",,209,87960209,
"Victor de Boer, Jur Leinenga, Matthias van Rossum and Rik Hoekstra",Dutch Ships and Sailors Linked Data,225-240,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960225-dutch-ships-and-sailors-linked-data.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,"Replication, Benchmark, Data and Software Track Paper",,225,87960225,
"Max Schmachtenberg, Christian Bizer and Heiko Paulheim",Adoption of Linked Data Best Practices in Different Topical Domains,241-256,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960241-adoption-of-linked-data-best-practices-in-different-topical-domains.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,"Replication, Benchmark, Data and Software Track Paper",,241,87960241,
Peter F. Patel-Schneider,Analyzing Schema.org,257-272,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960257-analyzing-schemaorg.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,257,87960257,
"Robert Meusel, Petar Petrovski and Christian Bizer","The WebDataCommons Microdata, RDFa and Microformat Dataset Series",273-288,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960273-the-webdatacommons-microdata-rdfa-and-microformat-dataset-series.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,"Replication, Benchmark, Data and Software Track Paper",,273,87960273,
"Haofen Wang, Tianxing Wu, Guilin Qi and Tong Ruan",On Publishing Chinese Linked Open Schema,289-304,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960289-on-publishing-chinese-linked-open-schema.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,"Replication, Benchmark, Data and Software Track Paper",,289,87960289,
"Vedran Sabol, Gerwald Tschinkel, Eduardo Veas, Patrick Hoefler, Belgin Mutlu and Michael Granitzer",Discovery and Visual Analysis of Linked Data for Humans,305-320,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960305-discovery-and-visual-analysis-of-linked-data-for-humans.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,Semantic Web In Use Track Paper,,305,87960305,
"Luis-Daniel Ibáñez, Hala Skaf-Molli, Pascal Molli and Olivier Corby",Col-Graph: Towards Writable and Scalable Linked Open Data,321-336,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960321-col-graph-towards-writable-and-scalable-linked-open-data.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,321,87960321,
Matthew Rowe,Transferring Semantic Categories with Vertex Kernels: Recommendations with SemanticSVD++,337-352,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960337-transferring-semantic-categories-with-vertex-kernels-recommendations-with-semanticsvd.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,337,87960337,
"Daniel Fleischhacker, Heiko Paulheim, Volha Bryl, Johanna Völker and Christian Bizer",Detecting Errors in Numerical Linked Data using Cross-Checked Outlier Detection,353-368,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960353-detecting-errors-in-numerical-linked-data-using-cross-checked-outlier-detection.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,353,87960353,
"Man Zhu, Zhiqiang Gao and Zhibin Quan",Noisy Type Assertion Detection in Semantic Datasets,369-384,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960369-noisy-type-assertion-detection-in-semantic-datasets.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,369,87960369,
"William Van Woensel, Newres Al Haider, Ahmad Ahmad and Syed Sr Abidi",A Cross-Platform Benchmarking Framework for Mobile Semantic Web Reasoning Engines,385-400,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960385-a-cross-platform-benchmarking-framework-for-mobile-semantic-web-reasoning-engines.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,"Replication, Benchmark, Data and Software Track Paper",,385,87960385,
Evan Patton and Deborah McGuinness,A Power Consumption Benchmark for Reasoners on Mobile Devices,401-416,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960401-a-power-consumption-benchmark-for-reasoners-on-mobile-devices.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,"Replication, Benchmark, Data and Software Track Paper",,401,87960401,
Harry Halpin and James Cheney,Dynamic Provenance for SPARQL Updates,417-432,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960417-dynamic-provenance-for-sparql-updates.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,417,87960417,
"Albin Ahmeti, Diego Calvanese and Axel Polleres",Updating RDFS ABoxes and TBoxes in SPARQL,433-448,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960433-updating-rdfs-aboxes-and-tboxes-in-sparql.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,433,87960433,
"Ricardo Usbeck, Axel-Cyrille Ngonga Ngomo, Michael Röder, Daniel Gerber, Sandro Athaide Coelho, Sören Auer and Andreas Both",AGDISTIS - Graph-Based Disambiguation of Named Entities using Linked Data,449-463,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960449-agdistis-graph-based-disambiguation-of-named-entities-using-linked-data.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,449,87960449,
"Sebastian Walter, Christina Unger and Philipp Cimiano",M-ATOLL: A Framework for the lexicalization of ontologies in multiple languages,464-478,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960464-m-atoll-a-framework-for-the-lexicalization-of-ontologies-in-multiple-languages.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,464,87960464,
Ziqi Zhang,Towards Efficient and Effective Semantic Table Interpretation,479-494,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960479-towards-efficient-and-effective-semantic-table-interpretation.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,479,87960479,
David Robert Berry and Nadeschda Nikitina,Semano: Semantic Annotation Framework for Natural Language Resources,495-510,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960495-semano-semantic-annotation-framework-for-natural-language-resources.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,"Replication, Benchmark, Data and Software Track Paper",,495,87960495,
René Speck and Axel-Cyrille Ngonga Ngomo,Ensemble Learning for Named Entity Recognition,511-526,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960511-ensemble-learning-for-named-entity-recognition.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,"Replication, Benchmark, Data and Software Track Paper",,511,87960511,
"Juan F. Sequeda, Marcelo Arenas and Daniel P. Miranker","OBDA: Query Rewriting or Materialization? In Practice, Both!",527-542,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960527-obda-query-rewriting-or-materialization-in-practice-both.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,527,87960527,
"Roman Kontchakov, Martin Rezk, Mariano Rodriguez-Muro, Guohui Xiao and Michael Zakharyaschev",Answering SPARQL Queries over Databases under OWL 2 QL Entailment Regim,543-558,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960543-answering-sparql-queries-over-databases-under-owl-2-ql-entailment-regim.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,543,87960543,
"Jose Mora, Riccardo Rosati and Oscar Corcho",kyrie2: Query Rewriting under Extensional Constraints in ELHIO,559-574,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960559-kyrie2-query-rewriting-under-extensional-constraints-in-elhio.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,559,87960559,
"Stefan Bischof, Markus Krötzsch, Axel Polleres and Sebastian Rudolph",Schema-Agnostic Query Rewriting in SPARQL 1.1,575-590,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960575-schema-agnostic-query-rewriting-in-sparql-11.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,575,87960575,
"Evgeny Kharlamov, Nina Solomakhina, Özgür Lütfü Özcep, Dmitriy Zheleznyakov, Thomas Hubauer, Steffen Lamparter, Mikhail Roshchin and Ahmet Soylu",How Semantic Technologies can Enhance Data Access at Siemens Energy,591-,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960591-how-semantic-technologies-can-enhance-data-access-at-siemens-energy.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,Semantic Web In Use Track Paper,,591,87960591,
"Alessandro Solimando, Ernesto Jimenez-Ruiz and Giovanna Guerrini",Detecting and Correcting Conservativity Principle Violations in Ontology-to-Ontology Mappings,1-16,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87970001-detecting-and-correcting-conservativity-principle-violations-in-ontology-to-ontology-mappings.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2014,Semantic Web In Use Track Paper,,1,87970001,
"Daniel Faria, Ernesto Jimenez-Ruiz, Catia Pesquita, Emanuel Santos and Francisco Couto",Towards annotating potential incoherences in BioPortal mappings,17-32,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87970017-towards-annotating-potential-incoherences-in-bioportal-mappings.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2014,Semantic Web In Use Track Paper,,17,87970017,
Michelle Cheatham and Pascal Hitzler,Conference v2.0: An uncertain version of the OAEI Conference benchmark,33-48,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87970033-conference-v20-an-uncertain-version-of-the-oaei-conference-benchmark.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2014,"Replication, Benchmark, Data and Software Track Paper",,33,87970033,
Francisco Martin-Recuerda and Dirk Walther,Fast Modularisation and Atomic Decomposition of Ontologies using Axiom Dependency Hypergraphs,49-64,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87970049-fast-modularisation-and-atomic-decomposition-of-ontologies-using-axiom-dependency-hypergraphs.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,49,87970049,
"Matthew Horridge, Jonathan Mortensen, Bijan Parsia, Uli Sattler and Mark Musen",A Study on the Atomic Decomposition of Ontologies,65-80,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87970065-a-study-on-the-atomic-decomposition-of-ontologies.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2014,"Replication, Benchmark, Data and Software Track Paper",,65,87970065,
"Laurens Rietveld, Rinke Hoekstra, Stefan Schlobach and Christophe Guéret",Structural Properties as Proxy for Semantic Relevance in RDF Graph Sampling,81-96,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87970081-structural-properties-as-proxy-for-semantic-relevance-in-rdf-graph-sampling.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,81,87970081,
"Andreas Wagner, Veli Bicer, Thanh Tran and Rudi Studer",Holistic and Compact Selectivity Estimation for Hybrid Queries over RDF Graphs,97-112,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87970097-holistic-and-compact-selectivity-estimation-for-hybrid-queries-over-rdf-graphs.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,97,87970097,
"Denis Krompaß, Maximilian Nickel and Volker Tresp",Querying Factorized Probabilistic Triple Databases,113-128,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87970113-querying-factorized-probabilistic-triple-databases.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,113,87970113,
"Anila Sahar Butt, Armin Haller and Lexing Xie",Ontology Search: An Empirical Evaluation,129-144,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87970129-ontology-search-an-empirical-evaluation.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2014,"Replication, Benchmark, Data and Software Track Paper",,129,87970129,
"David Carral, Cristina Feier, Bernardo Cuenca Grau, Pascal Hitzler and Ian Horrocks",Pushing the Boundaries of Tractable Ontology Reasoning,145-160,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87970145-pushing-the-boundaries-of-tractable-ontology-reasoning.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,145,87970145,
"Marco Console, Jose Mora, Riccardo Rosati, Valerio Santarelli and Domenico Fabio Savo",Effective computation of maximal sound approximations of Description Logic ontologies,161-176,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87970161-effective-computation-of-maximal-sound-approximations-of-description-logic-ontologies.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,161,87970161,
"Birte Glimm, Yevgeny Kazakov, Thorsten Liebig, Trung-Kien Tran and Vincent Vialard",Abstraction Refinement for Ontology Materialization,177-192,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87970177-abstraction-refinement-for-ontology-materialization.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,177,87970177,
Yevgeny Kazakov and Pavel Klinov,Goal-Directed Tracing of Inferences in EL Ontologies,193-208,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87970193-goal-directed-tracing-of-inferences-in-el-ontologies.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,193,87970193,
"Martin Leinberger, Stefan Scheglmann, Ralf Laemmel, Steffen Staab, Matthias Thimm and Evelyne Viegas",Semantic Web Application development with LITEQ,209-224,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87970209-semantic-web-application-development-with-liteq.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2014,Semantic Web In Use Track Paper,,209,87970209,
"Chiara Di Francescomarino,  Francesco Corcoglioniti, Mauro Dragoni, Piergiorgio Bertoli, Roberto Tiella, Chiara Ghidini, Michele Nori  and Marco Pistore",Semantic-based Process Analysis,225-240,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87970225-semantic-based-process-analysis.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2014,Semantic Web In Use Track Paper,,225,87970225,
"Javier D. Fernández, Alejandro Llaves and Oscar Corcho",Efficient RDF Interchange (ERI) Format for RDF Data Streams,241-256,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87970241-efficient-rdf-interchange-eri-format-for-rdf-data-streams.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,241,87970241,
"Georgios Meditskos, Efstratios Kontopoulos and Ioannis Kompatsiaris",Knowledge-driven Activity Recognition and Segmentation Using Context Connections,257-272,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87970257-knowledge-driven-activity-recognition-and-segmentation-using-context-connections.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,257,87970257,
"Liliana Cabral, Michael Compton and Heiko Mueller",A Use Case in Semantic Modelling and Ranking for the Sensor Web,273-288,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87970273-a-use-case-in-semantic-modelling-and-ranking-for-the-sensor-web.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,273,87970273,
"Freddy Lecue, Robert Tucker, Simone Tallevi-Diotallevi,  Rahul Nair, Yiannis Gkoufas, Giuseppe Liguori, Mauro Borioni, Alexandre Rademaker and Luciano Barbosa","Semantic Traffic Diagnosis with STAR-CITY: Architecture and Lessons Learned from Deployment in Dublin, Bologna, Miami and Rio",289-304,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87970289-semantic-traffic-diagnosis-with-star-city-architecture-and-lessons-learned-from-deployment-in-dublin-bologna-miami-and-rio.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2014,Semantic Web In Use Track Paper,,289,87970289,
"Joern Ploennigs, Anika Schumann and Freddy Lecue",Adapting Semantic Sensor Networks for Smart Building Diagnosis,305-320,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87970305-adapting-semantic-sensor-networks-for-smart-building-diagnosis.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2014,Semantic Web In Use Track Paper,,305,87970305,
"Hassan Saif, Yulan He, Miriam Fernandez and Harith Alani",Semantic Patterns for Sentiment Analysis of Twitter,321-336,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87970321-semantic-patterns-for-sentiment-analysis-of-twitter.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,321,87970321,
"A. Elizabeth Cano, Yulan He and Harith Alani",Stretching the Life of Twitter Classifiers with Time-Stamped Semantic Graphs,337-352,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87970337-stretching-the-life-of-twitter-classifiers-with-time-stamped-semantic-graphs.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,337,87970337,
Rob Warren and Erik Champion,Linked Open Data Driven Game Generation,353-368,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87970353-linked-open-data-driven-game-generation.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2014,Semantic Web In Use Track Paper,,353,87970353,
Egor V. Kostylev and Bernardo Cuenca Grau,On the Semantics of SPARQL Queries with Optional Matching under Entailment Regimes,369-384,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87970369-on-the-semantics-of-sparql-queries-with-optional-matching-under-entailment-regimes.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,369,87970369,
"Carlos Buil-Aranda, Axel Polleres and Jürgen Umbrich",Strategies for executing federated queries in SPARQL1.1,385-400,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87970385-strategies-for-executing-federated-queries-in-sparql11.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,385,87970385,
Maurizio Atzori,Toward the Web of Functions: Interoperable Higher-Order Functions in SPARQL,401-416,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87970401-toward-the-web-of-functions-interoperable-higher-order-functions-in-sparql.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,401,87970401,
